id;identifier;location;uri;encryption;encryption_algorithm
1;interface Orchestrator groupware;seamless lime;Marketing;true;SHA256
2;Interactions invoice Global;Saint Iowa initiatives;logistical Trail;true;SHA256
3;Indiana Bedfordshire Optimization;navigate;reinvent plum;false;SHA512
4;circuit;deliverables Refined;blockchains;true;SHA256
5;Rubber Rustic;foreground Sausages pink;hacking;true;SHA512
6;Future indigo;national functionalities;Savings background;false;SHA512
7;impactful Guinea;Awesome Quality;Soft;false;SHA256
8;Administrator Grocery;Concrete;non-volatile;false;SHA256
9;Practical;complexity SMTP;Unbranded Research Greens;true;SHA512
10;turn-key Right-sized Frozen;Guernsey;Clothing Heights e-business;false;SHA512
